date,iso_code,monthly_new_cases,monthly_total_cases
2020-06-01,AZE,417,793176
2020-07-01,AZE,3400,796576
2020-08-01,AZE,15672,812248
2020-09-01,AZE,8610,820858
2020-10-01,AZE,2101,822959
2020-11-01,AZE,1286,824245
2020-12-01,AZE,1735,825980
2021-01-01,AZE,1929,827909
2021-02-01,AZE,603,828512
2021-03-01,AZE,170,828682
2021-03-01,BHS,33,33
2021-04-01,BHS,56,89
2021-05-01,BHS,14,103
2021-06-01,BHS,1,104
2021-07-01,BHS,611,715
2021-08-01,BHS,1870,2585
2021-09-01,BHS,1974,4559
2021-10-01,BHS,2453,7012
2021-11-01,BHS,567,7579
2021-12-01,BHS,349,7928
2022-01-01,BHS,361,8289
2022-02-01,BHS,353,8642
2022-03-01,BHS,628,9270
2022-04-01,BHS,1306,10576
2022-05-01,BHS,1448,12024
2022-06-01,BHS,865,12889
2022-07-01,BHS,3026,15915
2022-08-01,BHS,3120,19035
2022-09-01,BHS,2277,21312
2022-10-01,BHS,1280,22592
2022-11-01,BHS,302,22846
2022-12-01,BHS,3165,26011
2023-01-01,BHS,6822,32833
2023-02-01,BHS,347,33180
2023-03-01,BHS,14,33194
2019-12-01,BHS,4,33198
2020-01-01,BHS,168,33366
2020-02-01,BHS,413,33779
2020-03-01,BHS,1572,35351
2020-04-01,BHS,948,36299
2020-05-01,BHS,637,36936
2020-06-01,BHS,220,37156
2020-07-01,BHS,162,37318
2020-08-01,BHS,118,37436
2020-09-01,BHS,55,37491
2020-10-01,BHS,0,37491
2020-11-01,BHS,0,37491
2020-12-01,BHS,0,37491
2020-12-01,BHR,52,52
2021-01-01,BHR,771,823
2021-02-01,BHR,3111,3934
2021-03-01,BHR,8881,12815
2021-04-01,BHR,14599,27414
2021-05-01,BHR,15100,42514
2021-06-01,BHR,10293,52807
2021-07-01,BHR,18057,70864
2021-08-01,BHR,11760,82624
2021-09-01,BHR,4646,87270
2021-10-01,BHR,7014,94284
2021-11-01,BHR,10508,104792
2021-12-01,BHR,19477,124269
2022-01-01,BHR,27662,151931
2022-02-01,BHR,31399,183330
2022-03-01,BHR,61396,244726
2022-04-01,BHR,21101,265827
2022-05-01,BHR,3790,269617
2022-06-01,BHR,3018,272635
2022-07-01,BHR,2759,275394
2022-08-01,BHR,1562,276956
2022-09-01,BHR,765,277721
2022-10-01,BHR,8808,286529
2022-11-01,BHR,104073,390602
2022-12-01,BHR,128982,519584
2023-01-01,BHR,38423,558007
2023-02-01,BHR,12096,570103
2023-03-01,BHR,3654,573757
2019-12-01,BHR,1372,575129
2020-01-01,BHR,16561,591690
2020-02-01,BHR,43237,634927
2020-03-01,BHR,29461,664388
2020-04-01,BHR,8678,673066
2020-05-01,BHR,11479,684545
2020-06-01,BHR,8094,692639
2020-07-01,BHR,4212,696851
2020-08-01,BHR,2517,699368
2020-09-01,BHR,1467,700835
2020-10-01,BHR,7933,708768
2020-10-01,BGD,3,3
2020-11-01,BGD,1228,1231
2020-12-01,BGD,16591,17822
2021-01-01,BGD,80667,98489
2021-02-01,BGD,95101,193590
2021-03-01,BGD,72908,266498
2021-04-01,BGD,64580,331078
2021-05-01,BGD,51881,382959
2021-06-01,BGD,42394,425353
2021-07-01,BGD,58751,484104
2021-08-01,BGD,40806,524910
2021-09-01,BGD,14243,539153
2021-10-01,BGD,23599,562752
2021-11-01,BGD,140418,703170
2021-12-01,BGD,74227,777397
2022-01-01,BGD,59850,837247
2022-02-01,BGD,222291,1059538
2022-03-01,BGD,327204,1386742
2022-04-01,BGD,135560,1522302
2022-05-01,BGD,41717,1564019
2022-06-01,BGD,7650,1571669
2022-07-01,BGD,8633,1580302
2022-08-01,BGD,21003,1601305
2022-09-01,BGD,285966,1887271
2022-10-01,BGD,62853,1950124
2022-11-01,BGD,2038,1952162
2022-12-01,BGD,726,1952888
2023-01-01,BGD,1749,1954637
2023-02-01,BGD,37421,1992058
2023-03-01,BGD,5354,1997412
2019-12-01,BGD,1983,1999395
2020-01-01,BGD,10039,2009434
2020-02-01,BGD,6711,2016145
2020-03-01,BGD,17274,2033419
2020-04-01,BGD,2849,2036268
2020-05-01,BGD,719,2036987
2020-06-01,BGD,412,2037399
2020-07-01,BGD,317,2037716
2020-08-01,BGD,113,2037829
2020-08-01,BRB,51,51
2020-09-01,BRB,30,81
2020-10-01,BRB,11,92
2020-11-01,BRB,5,97
2020-12-01,BRB,13,110
2021-01-01,BRB,68,178
2021-02-01,BRB,15,193
2021-03-01,BRB,43,236
2021-04-01,BRB,34,270
2021-05-01,BRB,125,395
2021-06-01,BRB,1103,1498
2021-07-01,BRB,1496,2994
2021-08-01,BRB,671,3665
2021-09-01,BRB,190,3855
2021-10-01,BRB,174,4029
2021-11-01,BRB,53,4082
2021-12-01,BRB,297,4379
2022-01-01,BRB,804,5183
2022-02-01,BRB,3426,8609
2022-03-01,BRB,8542,17151
2022-04-01,BRB,7618,24769
2022-05-01,BRB,3796,28565
2022-06-01,BRB,14286,42851
2022-07-01,BRB,13012,55863
2022-08-01,BRB,3632,59495
2022-09-01,BRB,10067,69562
2022-10-01,BRB,11612,81174
2022-11-01,BRB,3388,84562
2022-12-01,BRB,7031,91593
2023-01-01,BRB,9622,101215
2023-02-01,BRB,1365,102580
2023-03-01,BRB,0,102580
2019-12-01,BRB,0,102580
2020-01-01,BRB,844,103424
2020-02-01,BRB,992,104416
2020-03-01,BRB,1099,105515
2020-04-01,BRB,642,106157
2020-05-01,BRB,488,106645
2020-05-01,BLR,1,1
2020-06-01,BLR,151,152
2020-07-01,BLR,11137,11289
2020-08-01,BLR,32114,43403
2020-09-01,BLR,18387,61790
2020-10-01,BLR,5461,67251
2020-11-01,BLR,4592,71843
2020-12-01,BLR,6103,77946
2021-01-01,BLR,22454,100400
2021-02-01,BLR,36247,136647
2021-03-01,BLR,51941,188588
2021-04-01,BLR,50047,238635
2021-05-01,BLR,49632,288267
2021-06-01,BLR,31332,319599
2021-07-01,BLR,34247,353846
2021-08-01,BLR,40593,394439
2021-09-01,BLR,21341,415780
2021-10-01,BLR,31974,447754
2021-11-01,BLR,32610,480364
2021-12-01,BLR,51785,532149
2022-01-01,BLR,69909,602058
2022-02-01,BLR,51265,653323
2022-03-01,BLR,40903,694226
2022-04-01,BLR,34578,728804
2022-05-01,BLR,190932,919736
2022-06-01,BLR,40066,959802
2022-07-01,BLR,21026,980828
2022-08-01,BLR,2039,982867
2022-09-01,BLR,0,982867
2022-10-01,BLR,11170,994037
2022-11-01,BLR,0,994037
2022-12-01,BLR,0,994037
2023-01-01,BLR,0,994037
2023-02-01,BLR,0,994037
2023-03-01,BLR,0,994037
2019-12-01,BLR,0,994037
2020-01-01,BLR,0,994037
2020-02-01,BLR,0,994037
2020-03-01,BLR,0,994037
2020-04-01,BEL,8,8
2020-05-01,BEL,20806,20814
2020-06-01,BEL,29453,50267
2020-07-01,BEL,8250,58517
2020-08-01,BEL,3541,62058
2020-09-01,BEL,8256,70314
2020-10-01,BEL,14922,85236
2020-11-01,BEL,46967,132203
2020-12-01,BEL,315152,447355
2021-01-01,BEL,145260,592615
2021-02-01,BEL,58272,650887
2021-03-01,BEL,60530,711417
2021-04-01,BEL,60877,772294
2021-05-01,BEL,130670,902964
2021-06-01,BEL,93932,996896
2021-07-01,BEL,65105,1062001
2021-08-01,BEL,26362,1088363
2021-09-01,BEL,40655,1129018
2021-10-01,BEL,67638,1196656
2021-11-01,BEL,55201,1251857
2021-12-01,BEL,108793,1360650
2022-01-01,BEL,508256,1868906
2022-02-01,BEL,264378,2133284
2022-03-01,BEL,1021955,3155239
2022-04-01,BEL,402075,3557314
2022-05-01,BEL,324209,3881523
2022-06-01,BEL,189756,4071279
2022-07-01,BEL,87475,4158754
2022-08-01,BEL,106542,4265296
2022-09-01,BEL,159905,4425201
2022-10-01,BEL,67572,4492773
2022-11-01,BEL,60560,4553333
2022-12-01,BEL,58906,4612239
2023-01-01,BEL,32239,4644478
2023-02-01,BEL,23770,4668248
2023-03-01,BEL,13986,4682234
2019-12-01,BEL,0,4682234
2020-01-01,BEL,13169,4695403
2020-02-01,BEL,32392,4727795
2020-03-01,BLZ,18,18
2020-04-01,BLZ,0,18
2020-05-01,BLZ,6,24
2020-06-01,BLZ,24,48
2020-07-01,BLZ,638,686
2020-08-01,BLZ,1139,1825
2020-09-01,BLZ,1320,3145
2020-10-01,BLZ,2038,5183
2020-11-01,BLZ,5378,10561
2020-12-01,BLZ,1189,11750
2021-01-01,BLZ,543,12293
2021-02-01,BLZ,122,12415
2021-03-01,BLZ,184,12599
